"epoch: 80, PSNR: 19.949887061386967, SSIM: 0.7739756770348281, LPIPS: 0.16512437482898154, UCIQE: 0.41497644782066345, UIQM: 3.7430951595306396, best PSNR: 20.134554980845934, best epoch: 78"
"epoch: 81, PSNR: 19.80101569315021, SSIM: 0.7711853050114064, LPIPS: 0.16600651377707384, UCIQE: 0.42009076476097107, UIQM: 3.742156744003296, best PSNR: 20.134554980845934, best epoch: 78"
"epoch: 82, PSNR: 20.1941200749258, SSIM: 0.7772116694557533, LPIPS: 0.16149427013450793, UCIQE: 0.4128880202770233, UIQM: 3.736119270324707, best PSNR: 20.1941200749258, best epoch: 82"
"epoch: 83, PSNR: 20.164535276005775, SSIM: 0.7800515233800652, LPIPS: 0.16314115722695094, UCIQE: 0.41415247321128845, UIQM: 3.7407076358795166, best PSNR: 20.1941200749258, best epoch: 82"
"epoch: 84, PSNR: 20.044985878333616, SSIM: 0.7768604808978821, LPIPS: 0.16697518820508142, UCIQE: 0.4219643175601959, UIQM: 3.747351884841919, best PSNR: 20.1941200749258, best epoch: 82"
"epoch: 85, PSNR: 20.134106025267183, SSIM: 0.7787664050466558, LPIPS: 0.16341558642936557, UCIQE: 0.40774106979370117, UIQM: 3.718386650085449, best PSNR: 20.1941200749258, best epoch: 82"
"epoch: 86, PSNR: 20.199130197589316, SSIM: 0.7815415001987072, LPIPS: 0.16641489625646827, UCIQE: 0.40546414256095886, UIQM: 3.733567476272583, best PSNR: 20.199130197589316, best epoch: 86"
"epoch: 87, PSNR: 20.03262144795964, SSIM: 0.777785873814915, LPIPS: 0.15857913487412956, UCIQE: 0.4095577895641327, UIQM: 3.7337393760681152, best PSNR: 20.199130197589316, best epoch: 86"
"epoch: 88, PSNR: 20.104852312066583, SSIM: 0.7785769392935078, LPIPS: 0.15950417962301983, UCIQE: 0.4178946018218994, UIQM: 3.7548582553863525, best PSNR: 20.199130197589316, best epoch: 86"
"epoch: 89, PSNR: 20.23640396889676, SSIM: 0.7849972562843495, LPIPS: 0.16398565630229672, UCIQE: 0.40905681252479553, UIQM: 3.7417545318603516, best PSNR: 20.23640396889676, best epoch: 89"
"epoch: 90, PSNR: 20.374970028909406, SSIM: 0.7852275498797384, LPIPS: 0.15835436885611395, UCIQE: 0.4078470468521118, UIQM: 3.7240710258483887, best PSNR: 20.374970028909406, best epoch: 90"
"epoch: 91, PSNR: 20.337042454923136, SSIM: 0.7867198432429453, LPIPS: 0.15966027489538942, UCIQE: 0.41041114926338196, UIQM: 3.7376818656921387, best PSNR: 20.374970028909406, best epoch: 90"
